Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude,vtkValidPointMask
29,0.029,0.5,0.029,0,0.50084,-0.102721,0.00363738,0,0.102786,1
30,0.03,0.5,0.03,0,0.500899,-0.105844,0.00381322,0,0.105912,1
31,0.031,0.5,0.031,0,0.50096,-0.108695,0.00399089,0,0.108768,1
32,0.032,0.5,0.032,0,0.501023,-0.111427,0.00416937,0,0.111505,1
33,0.033,0.5,0.033,0,0.501088,-0.11416,0.00434784,0,0.114243,1
34,0.034,0.5,0.034,0,0.501155,-0.116893,0.00452632,0,0.116981,1
35,0.035,0.5,0.035,0,0.501224,-0.119626,0.00470479,0,0.119719,1
36,0.036,0.5,0.036,0,0.501294,-0.122359,0.00488326,0,0.122457,1
37,0.037,0.5,0.037,0,0.501367,-0.125092,0.00506174,0,0.125194,1
38,0.038,0.5,0.038,0,0.501442,-0.127825,0.00524021,0,0.127932,1
39,0.039,0.5,0.039,0,0.501519,-0.130558,0.00541869,0,0.13067,1
40,0.04,0.5,0.04,0,0.501597,-0.133291,0.00559716,0,0.133408,1
41,0.041,0.5,0.041,0,0.501678,-0.135811,0.00576591,0,0.135933,1
42,0.042,0.5,0.042,0,0.501761,-0.138186,0.00592807,0,0.138314,1
43,0.043,0.5,0.043,0,0.501846,-0.140562,0.00609022,0,0.140694,1
44,0.044,0.5,0.044,0,0.501932,-0.142938,0.00625238,0,0.143074,1
45,0.045,0.5,0.045,0,0.502021,-0.145313,0.00641453,0,0.145455,1
46,0.046,0.5,0.046,0,0.502112,-0.147689,0.00657669,0,0.147835,1
47,0.047,0.5,0.047,0,0.502204,-0.150065,0.00673884,0,0.150216,1
48,0.048,0.5,0.048,0,0.502299,-0.15244,0.006901,0,0.152596,1
49,0.049,0.5,0.049,0,0.502395,-0.154816,0.00706316,0,0.154977,1
50,0.05,0.5,0.05,0,0.502494,-0.157192,0.00722531,0,0.157358,1
51,0.051,0.5,0.051,0,0.502594,-0.159413,0.00737562,0,0.159584,1
52,0.052,0.5,0.052,0,0.502697,-0.161478,0.00751383,0,0.161652,1
53,0.053,0.5,0.053,0,0.502801,-0.163542,0.00765203,0,0.163721,1
54,0.054,0.5,0.054,0,0.502908,-0.165606,0.00779024,0,0.16579,1
55,0.055,0.5,0.055,0,0.503016,-0.167671,0.00792845,0,0.167858,1
56,0.056,0.5,0.056,0,0.503126,-0.169735,0.00806666,0,0.169927,1
57,0.057,0.5,0.057,0,0.503238,-0.1718,0.00820487,0,0.171996,1
58,0.058,0.5,0.058,0,0.503353,-0.173864,0.00834308,0,0.174064,1
59,0.059,0.5,0.059,0,0.503469,-0.175928,0.00848129,0,0.176133,1
60,0.06,0.5,0.06,0,0.503587,-0.177993,0.0086195,0,0.178201,1
61,0.061,0.5,0.061,0,0.503707,-0.179955,0.00874805,0,0.180167,1
62,0.062,0.5,0.062,0,0.503829,-0.181759,0.00886175,0,0.181974,1
63,0.063,0.5,0.063,0,0.503953,-0.183562,0.00897545,0,0.183782,1
64,0.064,0.5,0.064,0,0.504079,-0.185366,0.00908915,0,0.185589,1
65,0.065,0.5,0.065,0,0.504207,-0.18717,0.00920285,0,0.187396,1
66,0.066,0.5,0.066,0,0.504337,-0.188974,0.00931654,0,0.189203,1
67,0.067,0.5,0.067,0,0.504469,-0.190778,0.00943024,0,0.191011,1
68,0.068,0.5,0.068,0,0.504603,-0.192582,0.00954394,0,0.192818,1
69,0.069,0.5,0.069,0,0.504739,-0.194386,0.00965764,0,0.194625,1
70,0.07,0.5,0.07,0,0.504876,-0.196189,0.00977134,0,0.196433,1
71,0.071,0.5,0.071,0,0.505016,-0.197931,0.00987912,0,0.198177,1
72,0.072,0.5,0.072,0,0.505157,-0.199522,0.00997264,0,0.199771,1
73,0.073,0.5,0.073,0,0.505301,-0.201112,0.0100662,0,0.201364,1
74,0.074,0.5,0.074,0,0.505446,-0.202703,0.0101597,0,0.202957,1
75,0.075,0.5,0.075,0,0.505594,-0.204294,0.0102532,0,0.204551,1
76,0.076,0.5,0.076,0,0.505743,-0.205884,0.0103467,0,0.206144,1
77,0.077,0.5,0.077,0,0.505894,-0.207475,0.0104402,0,0.207738,1
78,0.078,0.5,0.078,0,0.506047,-0.209066,0.0105337,0,0.209331,1
79,0.079,0.5,0.079,0,0.506203,-0.210657,0.0106273,0,0.210925,1
80,0.08,0.5,0.08,0,0.50636,-0.212247,0.0107208,0,0.212518,1
81,0.081,0.5,0.081,0,0.506518,-0.213805,0.0108117,0,0.214078,1
82,0.082,0.5,0.082,0,0.506679,-0.21522,0.0108917,0,0.215495,1
83,0.083,0.5,0.083,0,0.506842,-0.216635,0.0109717,0,0.216913,1
84,0.084,0.5,0.084,0,0.507007,-0.218051,0.0110517,0,0.218331,1
85,0.085,0.5,0.085,0,0.507174,-0.219466,0.0111317,0,0.219748,1
86,0.086,0.5,0.086,0,0.507342,-0.220882,0.0112117,0,0.221166,1
87,0.087,0.5,0.087,0,0.507513,-0.222297,0.0112916,0,0.222584,1
88,0.088,0.5,0.088,0,0.507685,-0.223713,0.0113716,0,0.224002,1
89,0.089,0.5,0.089,0,0.507859,-0.225128,0.0114516,0,0.225419,1
90,0.09,0.5,0.09,0,0.508035,-0.226544,0.0115316,0,0.226837,1
91,0.091,0.5,0.091,0,0.508214,-0.227946,0.011611,0,0.228241,1
92,0.092,0.5,0.092,0,0.508394,-0.229211,0.0116842,0,0.229509,1
93,0.093,0.5,0.093,0,0.508575,-0.230477,0.0117573,0,0.230777,1
94,0.094,0.5,0.094,0,0.508759,-0.231743,0.0118305,0,0.232045,1
95,0.095,0.5,0.095,0,0.508945,-0.233009,0.0119037,0,0.233313,1
96,0.096,0.5,0.096,0,0.509133,-0.234275,0.0119768,0,0.234581,1
97,0.097,0.5,0.097,0,0.509322,-0.235541,0.01205,0,0.235849,1
98,0.098,0.5,0.098,0,0.509513,-0.236807,0.0121232,0,0.237117,1
99,0.099,0.5,0.099,0,0.509707,-0.238073,0.0121963,0,0.238385,1
100,0.1,0.5,0.1,0,0.509902,-0.239339,0.0122695,0,0.239653,1
101,0.101,0.5,0.101,0,0.510099,-0.240605,0.0123427,0,0.240921,1
102,0.102,0.5,0.102,0,0.510298,-0.241737,0.0124145,0,0.242056,1
103,0.103,0.5,0.103,0,0.510499,-0.242868,0.0124862,0,0.243189,1
104,0.104,0.5,0.104,0,0.510701,-0.243999,0.012558,0,0.244322,1
105,0.105,0.5,0.105,0,0.510906,-0.24513,0.0126298,0,0.245455,1
106,0.106,0.5,0.106,0,0.511113,-0.246261,0.0127016,0,0.246588,1
107,0.107,0.5,0.107,0,0.511321,-0.247392,0.0127734,0,0.247721,1
108,0.108,0.5,0.108,0,0.511531,-0.248522,0.0128451,0,0.248854,1
109,0.109,0.5,0.109,0,0.511743,-0.249653,0.0129169,0,0.249987,1
110,0.11,0.5,0.11,0,0.511957,-0.250784,0.0129887,0,0.25112,1
111,0.111,0.5,0.111,0,0.512173,-0.251915,0.0130605,0,0.252253,1
112,0.112,0.5,0.112,0,0.51239,-0.252931,0.0131344,0,0.253272,1
113,0.113,0.5,0.113,0,0.51261,-0.253932,0.0132086,0,0.254276,1
114,0.114,0.5,0.114,0,0.512831,-0.254934,0.0132828,0,0.255279,1
115,0.115,0.5,0.115,0,0.513055,-0.255935,0.013357,0,0.256283,1
116,0.116,0.5,0.116,0,0.51328,-0.256936,0.0134312,0,0.257287,1
117,0.117,0.5,0.117,0,0.513507,-0.257938,0.0135055,0,0.258291,1
118,0.118,0.5,0.118,0,0.513735,-0.258939,0.0135797,0,0.259295,1
119,0.119,0.5,0.119,0,0.513966,-0.259941,0.0136539,0,0.260299,1
120,0.12,0.5,0.12,0,0.514198,-0.260942,0.0137281,0,0.261303,1
121,0.121,0.5,0.121,0,0.514433,-0.261943,0.0138023,0,0.262307,1
122,0.122,0.5,0.122,0,0.514669,-0.262842,0.0138801,0,0.263208,1
123,0.123,0.5,0.123,0,0.514907,-0.263713,0.013959,0,0.264082,1
124,0.124,0.5,0.124,0,0.515147,-0.264584,0.0140378,0,0.264956,1
125,0.125,0.5,0.125,0,0.515388,-0.265455,0.0141167,0,0.26583,1
126,0.126,0.5,0.126,0,0.515632,-0.266326,0.0141955,0,0.266704,1
127,0.127,0.5,0.127,0,0.515877,-0.267197,0.0142744,0,0.267578,1
128,0.128,0.5,0.128,0,0.516124,-0.268068,0.0143532,0,0.268452,1
129,0.129,0.5,0.129,0,0.516373,-0.268939,0.014432,0,0.269326,1
130,0.13,0.5,0.13,0,0.516624,-0.26981,0.0145109,0,0.2702,1
131,0.131,0.5,0.131,0,0.516876,-0.270681,0.0145897,0,0.271074,1
132,0.132,0.5,0.132,0,0.517131,-0.271459,0.0146723,0,0.271856,1
133,0.133,0.5,0.133,0,0.517387,-0.272196,0.0147566,0,0.272595,1
134,0.134,0.5,0.134,0,0.517645,-0.272932,0.0148409,0,0.273335,1
135,0.135,0.5,0.135,0,0.517904,-0.273668,0.0149252,0,0.274075,1
136,0.136,0.5,0.136,0,0.518166,-0.274404,0.0150095,0,0.274815,1
137,0.137,0.5,0.137,0,0.518429,-0.275141,0.0150938,0,0.275554,1
138,0.138,0.5,0.138,0,0.518695,-0.275877,0.0151781,0,0.276294,1
139,0.139,0.5,0.139,0,0.518961,-0.276613,0.0152624,0,0.277034,1
140,0.14,0.5,0.14,0,0.51923,-0.277349,0.0153467,0,0.277774,1
141,0.141,0.5,0.141,0,0.519501,-0.278086,0.015431,0,0.278513,1
142,0.142,0.5,0.142,0,0.519773,-0.27874,0.0155183,0,0.279171,1
143,0.143,0.5,0.143,0,0.520047,-0.279336,0.0156079,0,0.279771,1
144,0.144,0.5,0.144,0,0.520323,-0.279932,0.0156974,0,0.280371,1
145,0.145,0.5,0.145,0,0.520601,-0.280527,0.0157869,0,0.280971,1
146,0.146,0.5,0.146,0,0.52088,-0.281123,0.0158765,0,0.281571,1
147,0.147,0.5,0.147,0,0.521161,-0.281719,0.015966,0,0.282171,1
148,0.148,0.5,0.148,0,0.521444,-0.282315,0.0160556,0,0.282771,1
149,0.149,0.5,0.149,0,0.521729,-0.282911,0.0161451,0,0.283371,1
150,0.15,0.5,0.15,0,0.522015,-0.283507,0.0162346,0,0.283972,1
151,0.151,0.5,0.151,0,0.522304,-0.284103,0.0163242,0,0.284572,1
152,0.152,0.5,0.152,0,0.522594,-0.284628,0.0164158,0,0.285101,1
153,0.153,0.5,0.153,0,0.522885,-0.285079,0.0165096,0,0.285556,1
154,0.154,0.5,0.154,0,0.523179,-0.285529,0.0166035,0,0.286011,1
155,0.155,0.5,0.155,0,0.523474,-0.285979,0.0166974,0,0.286466,1
156,0.156,0.5,0.156,0,0.523771,-0.28643,0.0167912,0,0.286921,1
157,0.157,0.5,0.157,0,0.52407,-0.28688,0.0168851,0,0.287376,1
158,0.158,0.5,0.158,0,0.52437,-0.28733,0.0169789,0,0.287831,1
159,0.159,0.5,0.159,0,0.524672,-0.287781,0.0170728,0,0.288287,1
160,0.16,0.5,0.16,0,0.524976,-0.288231,0.0171666,0,0.288742,1
161,0.161,0.5,0.161,0,0.525282,-0.288681,0.0172605,0,0.289197,1
162,0.162,0.5,0.162,0,0.525589,-0.289074,0.0173555,0,0.289595,1
163,0.163,0.5,0.163,0,0.525898,-0.289375,0.0174523,0,0.289901,1
164,0.164,0.5,0.164,0,0.526209,-0.289676,0.0175492,0,0.290207,1
165,0.165,0.5,0.165,0,0.526522,-0.289977,0.017646,0,0.290514,1
166,0.166,0.5,0.166,0,0.526836,-0.290278,0.0177429,0,0.29082,1
167,0.167,0.5,0.167,0,0.527152,-0.290579,0.0178397,0,0.291126,1
168,0.168,0.5,0.168,0,0.527469,-0.29088,0.0179365,0,0.291433,1
169,0.169,0.5,0.169,0,0.527789,-0.291181,0.0180334,0,0.291739,1
170,0.17,0.5,0.17,0,0.52811,-0.291482,0.0181302,0,0.292045,1
171,0.171,0.5,0.171,0,0.528433,-0.291783,0.0182271,0,0.292352,1
172,0.172,0.5,0.172,0,0.528757,-0.292041,0.0183243,0,0.292616,1
173,0.173,0.5,0.173,0,0.529083,-0.292191,0.0184225,0,0.292772,1
174,0.174,0.5,0.174,0,0.529411,-0.292342,0.0185207,0,0.292928,1
175,0.175,0.5,0.175,0,0.529741,-0.292492,0.018619,0,0.293084,1
176,0.176,0.5,0.176,0,0.530072,-0.292642,0.0187172,0,0.29324,1
177,0.177,0.5,0.177,0,0.530405,-0.292792,0.0188154,0,0.293396,1
178,0.178,0.5,0.178,0,0.530739,-0.292942,0.0189137,0,0.293552,1
179,0.179,0.5,0.179,0,0.531075,-0.293092,0.0190119,0,0.293708,1
180,0.18,0.5,0.18,0,0.531413,-0.293242,0.0191101,0,0.293864,1
181,0.181,0.5,0.181,0,0.531753,-0.293392,0.0192083,0,0.29402,1
182,0.182,0.5,0.182,0,0.532094,-0.293515,0.0193065,0,0.294149,1
183,0.183,0.5,0.183,0,0.532437,-0.293515,0.0194044,0,0.294156,1
184,0.184,0.5,0.184,0,0.532781,-0.293515,0.0195023,0,0.294162,1
185,0.185,0.5,0.185,0,0.533128,-0.293515,0.0196003,0,0.294169,1
186,0.186,0.5,0.186,0,0.533475,-0.293515,0.0196982,0,0.294176,1
187,0.187,0.5,0.187,0,0.533825,-0.293515,0.0197961,0,0.294182,1
188,0.188,0.5,0.188,0,0.534176,-0.293515,0.019894,0,0.294189,1
189,0.189,0.5,0.189,0,0.534529,-0.293516,0.0199919,0,0.294196,1
190,0.19,0.5,0.19,0,0.534883,-0.293516,0.0200898,0,0.294202,1
191,0.191,0.5,0.191,0,0.535239,-0.293516,0.0201877,0,0.294209,1
192,0.192,0.5,0.192,0,0.535597,-0.293504,0.0202855,0,0.294204,1
193,0.193,0.5,0.193,0,0.535956,-0.293357,0.0203814,0,0.294065,1
194,0.194,0.5,0.194,0,0.536317,-0.293211,0.0204772,0,0.293925,1
195,0.195,0.5,0.195,0,0.53668,-0.293064,0.0205731,0,0.293786,1
196,0.196,0.5,0.196,0,0.537044,-0.292918,0.020669,0,0.293646,1
197,0.197,0.5,0.197,0,0.53741,-0.292771,0.0207648,0,0.293507,1
198,0.198,0.5,0.198,0,0.537777,-0.292625,0.0208607,0,0.293368,1
199,0.199,0.5,0.199,0,0.538146,-0.292478,0.0209566,0,0.293228,1
200,0.2,0.5,0.2,0,0.538516,-0.292332,0.0210525,0,0.293089,1
201,0.201,0.5,0.201,0,0.538889,-0.292185,0.0211483,0,0.29295,1
202,0.202,0.5,0.202,0,0.539262,-0.292039,0.0212442,0,0.292811,1
203,0.203,0.5,0.203,0,0.539638,-0.291755,0.0213364,0,0.292534,1
204,0.204,0.5,0.204,0,0.540015,-0.291468,0.0214286,0,0.292254,1
205,0.205,0.5,0.205,0,0.540393,-0.291181,0.0215208,0,0.291975,1
206,0.206,0.5,0.206,0,0.540774,-0.290894,0.0216129,0,0.291695,1
207,0.207,0.5,0.207,0,0.541155,-0.290607,0.0217051,0,0.291416,1
208,0.208,0.5,0.208,0,0.541539,-0.29032,0.0217973,0,0.291137,1
209,0.209,0.5,0.209,0,0.541923,-0.290032,0.0218894,0,0.290857,1
210,0.21,0.5,0.21,0,0.54231,-0.289745,0.0219816,0,0.290578,1
211,0.211,0.5,0.211,0,0.542698,-0.289458,0.0220738,0,0.290299,1
212,0.212,0.5,0.212,0,0.543087,-0.289171,0.0221659,0,0.29002,1
213,0.213,0.5,0.213,0,0.543479,-0.288768,0.0222535,0,0.289624,1
214,0.214,0.5,0.214,0,0.543871,-0.288349,0.0223404,0,0.289213,1
215,0.215,0.5,0.215,0,0.544266,-0.28793,0.0224274,0,0.288802,1
216,0.216,0.5,0.216,0,0.544661,-0.287511,0.0225143,0,0.288391,1
217,0.217,0.5,0.217,0,0.545059,-0.287092,0.0226012,0,0.28798,1
218,0.218,0.5,0.218,0,0.545458,-0.286672,0.0226882,0,0.287569,1
219,0.219,0.5,0.219,0,0.545858,-0.286253,0.0227751,0,0.287158,1
220,0.22,0.5,0.22,0,0.54626,-0.285834,0.022862,0,0.286747,1
221,0.221,0.5,0.221,0,0.546664,-0.285415,0.022949,0,0.286336,1
222,0.222,0.5,0.222,0,0.547069,-0.284996,0.0230359,0,0.285925,1
223,0.223,0.5,0.223,0,0.547475,-0.284482,0.0231177,0,0.28542,1
224,0.224,0.5,0.224,0,0.547883,-0.283941,0.0231981,0,0.284887,1
225,0.225,0.5,0.225,0,0.548293,-0.2834,0.0232784,0,0.284355,1
226,0.226,0.5,0.226,0,0.548704,-0.28286,0.0233587,0,0.283823,1
227,0.227,0.5,0.227,0,0.549117,-0.282319,0.0234391,0,0.28329,1
228,0.228,0.5,0.228,0,0.549531,-0.281778,0.0235194,0,0.282758,1
229,0.229,0.5,0.229,0,0.549946,-0.281238,0.0235998,0,0.282226,1
230,0.23,0.5,0.23,0,0.550364,-0.280697,0.0236801,0,0.281694,1
231,0.231,0.5,0.231,0,0.550782,-0.280156,0.0237605,0,0.281162,1
232,0.232,0.5,0.232,0,0.551202,-0.279615,0.0238408,0,0.28063,1
233,0.233,0.5,0.233,0,0.551624,-0.279001,0.0239159,0,0.280024,1
234,0.234,0.5,0.234,0,0.552047,-0.278351,0.0239886,0,0.279383,1
235,0.235,0.5,0.235,0,0.552472,-0.277701,0.0240612,0,0.278741,1
236,0.236,0.5,0.236,0,0.552898,-0.277051,0.0241339,0,0.2781,1
237,0.237,0.5,0.237,0,0.553325,-0.276401,0.0242065,0,0.277459,1
238,0.238,0.5,0.238,0,0.553754,-0.275751,0.0242792,0,0.276818,1
239,0.239,0.5,0.239,0,0.554185,-0.275102,0.0243518,0,0.276177,1
240,0.24,0.5,0.24,0,0.554617,-0.274452,0.0244244,0,0.275536,1
241,0.241,0.5,0.241,0,0.55505,-0.273802,0.0244971,0,0.274895,1
242,0.242,0.5,0.242,0,0.555485,-0.273152,0.0245697,0,0.274255,1
243,0.243,0.5,0.243,0,0.555922,-0.272447,0.0246375,0,0.273559,1
244,0.244,0.5,0.244,0,0.55636,-0.271702,0.0247016,0,0.272823,1
245,0.245,0.5,0.245,0,0.556799,-0.270957,0.0247657,0,0.272086,1
246,0.246,0.5,0.246,0,0.55724,-0.270212,0.0248298,0,0.27135,1
247,0.247,0.5,0.247,0,0.557682,-0.269467,0.0248939,0,0.270614,1
248,0.248,0.5,0.248,0,0.558125,-0.268721,0.0249581,0,0.269878,1
249,0.249,0.5,0.249,0,0.558571,-0.267976,0.0250222,0,0.269142,1
250,0.25,0.5,0.25,0,0.559017,-0.267231,0.0250863,0,0.268406,1
251,0.251,0.5,0.251,0,0.559465,-0.266486,0.0251504,0,0.26767,1
252,0.252,0.5,0.252,0,0.559914,-0.265741,0.0252145,0,0.266934,1
253,0.253,0.5,0.253,0,0.560365,-0.264957,0.0252744,0,0.26616,1
254,0.254,0.5,0.254,0,0.560817,-0.264132,0.0253295,0,0.265344,1
255,0.255,0.5,0.255,0,0.561271,-0.263306,0.0253846,0,0.264527,1
256,0.256,0.5,0.256,0,0.561726,-0.262481,0.0254397,0,0.263711,1
257,0.257,0.5,0.257,0,0.562182,-0.261655,0.0254948,0,0.262894,1
258,0.258,0.5,0.258,0,0.56264,-0.26083,0.0255499,0,0.262078,1
259,0.259,0.5,0.259,0,0.563099,-0.260004,0.025605,0,0.261262,1
260,0.26,0.5,0.26,0,0.56356,-0.259178,0.0256601,0,0.260446,1
261,0.261,0.5,0.261,0,0.564022,-0.258353,0.0257152,0,0.25963,1
262,0.262,0.5,0.262,0,0.564486,-0.257527,0.0257703,0,0.258813,1
263,0.263,0.5,0.263,0,0.56495,-0.256677,0.0258219,0,0.257973,1
264,0.264,0.5,0.264,0,0.565417,-0.255787,0.0258679,0,0.257091,1
265,0.265,0.5,0.265,0,0.565884,-0.254896,0.0259138,0,0.25621,1
266,0.266,0.5,0.266,0,0.566353,-0.254005,0.0259597,0,0.255328,1
267,0.267,0.5,0.267,0,0.566824,-0.253115,0.0260056,0,0.254447,1
268,0.268,0.5,0.268,0,0.567295,-0.252224,0.0260516,0,0.253566,1
269,0.269,0.5,0.269,0,0.567768,-0.251333,0.0260975,0,0.252684,1
270,0.27,0.5,0.27,0,0.568243,-0.250442,0.0261434,0,0.251803,1
271,0.271,0.5,0.271,0,0.568719,-0.249552,0.0261894,0,0.250922,1
272,0.272,0.5,0.272,0,0.569196,-0.248661,0.0262353,0,0.250041,1
273,0.273,0.5,0.273,0,0.569674,-0.247757,0.0262788,0,0.249146,1
274,0.274,0.5,0.274,0,0.570154,-0.246816,0.0263158,0,0.248215,1
275,0.275,0.5,0.275,0,0.570636,-0.245876,0.0263527,0,0.247284,1
276,0.276,0.5,0.276,0,0.571118,-0.244935,0.0263897,0,0.246352,1
277,0.277,0.5,0.277,0,0.571602,-0.243994,0.0264267,0,0.245421,1
278,0.278,0.5,0.278,0,0.572087,-0.243054,0.0264637,0,0.24449,1
279,0.279,0.5,0.279,0,0.572574,-0.242113,0.0265007,0,0.243559,1
280,0.28,0.5,0.28,0,0.573062,-0.241173,0.0265376,0,0.242628,1
281,0.281,0.5,0.281,0,0.573551,-0.240232,0.0265746,0,0.241697,1
282,0.282,0.5,0.282,0,0.574042,-0.239291,0.0266116,0,0.240767,1
283,0.283,0.5,0.283,0,0.574534,-0.238345,0.0266471,0,0.23983,1
284,0.284,0.5,0.284,0,0.575027,-0.237369,0.0266757,0,0.238863,1
285,0.285,0.5,0.285,0,0.575522,-0.236393,0.0267043,0,0.237897,1
286,0.286,0.5,0.286,0,0.576017,-0.235417,0.0267329,0,0.23693,1
287,0.287,0.5,0.287,0,0.576515,-0.234442,0.0267615,0,0.235964,1
288,0.288,0.5,0.288,0,0.577013,-0.233466,0.0267901,0,0.234998,1
289,0.289,0.5,0.289,0,0.577513,-0.23249,0.0268187,0,0.234032,1
290,0.29,0.5,0.29,0,0.578014,-0.231514,0.0268473,0,0.233066,1
291,0.291,0.5,0.291,0,0.578516,-0.230539,0.0268758,0,0.2321,1
292,0.292,0.5,0.292,0,0.57902,-0.229563,0.0269044,0,0.231134,1
293,0.293,0.5,0.293,0,0.579525,-0.228586,0.0269325,0,0.230167,1
294,0.294,0.5,0.294,0,0.580031,-0.227589,0.0269536,0,0.229179,1
295,0.295,0.5,0.295,0,0.580539,-0.226591,0.0269747,0,0.228191,1
296,0.296,0.5,0.296,0,0.581047,-0.225594,0.0269957,0,0.227204,1
297,0.297,0.5,0.297,0,0.581557,-0.224597,0.0270168,0,0.226216,1
298,0.298,0.5,0.298,0,0.582069,-0.2236,0.0270379,0,0.225229,1
299,0.299,0.5,0.299,0,0.582581,-0.222603,0.027059,0,0.224241,1
300,0.3,0.5,0.3,0,0.583095,-0.221606,0.0270801,0,0.223254,1
301,0.301,0.5,0.301,0,0.58361,-0.220608,0.0271012,0,0.222267,1
302,0.302,0.5,0.302,0,0.584127,-0.219611,0.0271222,0,0.22128,1
303,0.303,0.5,0.303,0,0.584644,-0.218614,0.0271433,0,0.220293,1
304,0.304,0.5,0.304,0,0.585163,-0.217608,0.0271582,0,0.219296,1
305,0.305,0.5,0.305,0,0.585683,-0.216602,0.027173,0,0.218299,1
306,0.306,0.5,0.306,0,0.586205,-0.215595,0.0271877,0,0.217303,1
307,0.307,0.5,0.307,0,0.586727,-0.214589,0.0272024,0,0.216306,1
308,0.308,0.5,0.308,0,0.587251,-0.213582,0.0272172,0,0.21531,1
309,0.309,0.5,0.309,0,0.587776,-0.212576,0.0272319,0,0.214313,1
310,0.31,0.5,0.31,0,0.588303,-0.21157,0.0272466,0,0.213317,1
311,0.311,0.5,0.311,0,0.58883,-0.210563,0.0272614,0,0.212321,1
312,0.312,0.5,0.312,0,0.589359,-0.209557,0.0272761,0,0.211325,1
313,0.313,0.5,0.313,0,0.589889,-0.208551,0.0272908,0,0.210329,1
314,0.314,0.5,0.314,0,0.59042,-0.207545,0.0273012,0,0.209333,1
315,0.315,0.5,0.315,0,0.590953,-0.20654,0.027311,0,0.208338,1
316,0.316,0.5,0.316,0,0.591486,-0.205535,0.0273207,0,0.207343,1
317,0.317,0.5,0.317,0,0.592021,-0.20453,0.0273304,0,0.206348,1
318,0.318,0.5,0.318,0,0.592557,-0.203525,0.0273402,0,0.205353,1
319,0.319,0.5,0.319,0,0.593094,-0.20252,0.0273499,0,0.204359,1
320,0.32,0.5,0.32,0,0.593633,-0.201515,0.0273597,0,0.203364,1
321,0.321,0.5,0.321,0,0.594173,-0.20051,0.0273694,0,0.202369,1
322,0.322,0.5,0.322,0,0.594713,-0.199505,0.0273792,0,0.201375,1
323,0.323,0.5,0.323,0,0.595255,-0.1985,0.0273889,0,0.200381,1
324,0.324,0.5,0.324,0,0.595799,-0.197502,0.027396,0,0.199394,1
325,0.325,0.5,0.325,0,0.596343,-0.196507,0.0274022,0,0.198409,1
326,0.326,0.5,0.326,0,0.596889,-0.195512,0.0274085,0,0.197424,1
327,0.327,0.5,0.327,0,0.597435,-0.194517,0.0274147,0,0.19644,1
328,0.328,0.5,0.328,0,0.597983,-0.193522,0.027421,0,0.195455,1
